timestamp;person position;;;person rotation;;;robot position;;;robot rotation;emotions
;x;y;z;x;y;z;x;y;z;x;y;z;Angry;Sad;Happy;Disgust;Surprise;Fear;Neutral
14.01.2020 14:20:39;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;1,987847E-15;314,8672;-1,841323E-08;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:39;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;7,951387E-16;309,3142;3,68809E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:39;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;3,975693E-16;301,4388;9,080163E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:39;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;-3,180555E-15;296,3965;2,239065E-08;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:39;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;-5,218098E-16;291,5057;8,79966E-10;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:39;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;-2,385416E-15;287,4583;2,863154E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:39;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;1,987847E-16;283,7215;4,11929E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:39;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;-8,945311E-16;279,8387;2,426726E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:39;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;-3,180555E-15;276,1372;1,640145E-08;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:39;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;3,975693E-16;272,401;9,430884E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:39;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;7,951387E-16;269,536;1,405383E-08;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:39;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;0;266,5652;9,428717E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:39;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;-3,975693E-16;263,4003;8,331357E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:39;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;-3,975693E-16;260,9188;-5,82183E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:39;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;7,951387E-15;256,8382;2,270702E-08;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:39;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;1,192708E-15;254,7003;-2,511407E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:39;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;5,96354E-16;252,5701;3,947388E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:39;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;7,951387E-16;250,7671;1,001111E-08;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:39;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;-4,969617E-16;248,7685;-2,029124E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:39;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;5,565971E-15;246,9029;1,093013E-08;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:39;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;0;245,4328;0;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:39;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;-1,341797E-15;243,8487;-1,393052E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:39;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;1,192708E-14;242,2861;1,047055E-08;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:39;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;-2,385416E-15;240,8793;-1,926784E-08;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:39;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;2,385416E-15;239,508;7,450132E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:39;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;1,789062E-15;238,4213;6,510317E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:39;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;7,951387E-16;236,7842;1,268661E-08;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:39;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;-1,192708E-15;235,875;1,178553E-08;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:40;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;-7,951387E-16;234,8996;-1,20686E-08;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:40;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;2,186631E-15;233,937;-5,839763E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:40;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;5,96354E-16;233,1915;-5,964325E-09;0; 0; 0; 0; 0; 0; 0; 
